TRAIN RMSE:
[1]	train-rmse:0.186961 
[188]	train-rmse:0.000401 
[189]	train-rmse:0.000401 
[190]	train-rmse:0.000401 
[191]	train-rmse:0.000400 
[192]	train-rmse:0.000400 
[193]	train-rmse:0.000400 
[194]	train-rmse:0.000400 
[195]	train-rmse:0.000400 
[196]	train-rmse:0.000400 
[197]	train-rmse:0.000400 
[198]	train-rmse:0.000400 
[199]	train-rmse:0.000400 
[200]	train-rmse:0.000400 
[201]	train-rmse:0.000400 
[202]	train-rmse:0.000400 
[203]	train-rmse:0.000400 
[204]	train-rmse:0.000400 
[205]	train-rmse:0.000400 
[206]	train-rmse:0.000398 
[207]	train-rmse:0.000398 
[208]	train-rmse:0.000398 
[209]	train-rmse:0.000398 
[210]	train-rmse:0.000398 
[211]	train-rmse:0.000397 
[212]	train-rmse:0.000397 
[213]	train-rmse:0.000396 
[214]	train-rmse:0.000396 
[215]	train-rmse:0.000396 
[216]	train-rmse:0.000396 
[217]	train-rmse:0.000395 
[218]	train-rmse:0.000395 
[219]	train-rmse:0.000395 
[220]	train-rmse:0.000395 
[221]	train-rmse:0.000395 
[222]	train-rmse:0.000395 
[223]	train-rmse:0.000395 
[224]	train-rmse:0.000395 


XBG_FITTING SUMMARY
               Length Class              Mode       
handle              1 xgb.Booster.handle externalptr
raw            181872 -none-             raw        
niter               1 -none-             numeric    
evaluation_log      2 data.table         list       
call               13 -none-             call       
params              7 -none-             list       
callbacks           2 -none-             list       
feature_names       5 -none-             character  
nfeatures           1 -none-             numeric   


TEST PREDICTIONS 
 [1] 0.3071379 0.3074847 0.3078817 0.3086422 0.3085045 0.3090191 0.3090191
 [8] 0.3090191 0.3092026 0.3092703 0.3090867 0.3090191 0.3087771 0.3087771
[15] 0.3085045 0.3085045 0.3090191 0.3085045 0.3081741 0.3077916 0.3075705
[22] 0.3071465 0.3072081 0.3072824 0.3072391 0.3073159 0.3076667 0.3076442
[29] 0.3077136 0.3071884 0.3070456 0.3073027 0.3071745 0.3071877 0.3071597
[36] 0.3076667 0.3075290 0.3074291 0.3073939 0.3071465 0.3067924 0.3063235
[43] 0.3065800 0.3066155 0.3066278 0.3061030 0.3058968 0.3058747 0.3057605
[50] 0.3056517 0.3054588 0.3051771 0.3054170
RMSE on the test set: 0.0003445473 


FUTURE PREDICTIONS
 [1] 0.3054170 0.3053533 0.3056321 0.3052337 0.3052337 0.3052337 0.3052754
 [8] 0.3054455 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337
[15] 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337
[22] 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337
[29] 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337
[36] 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337
[43] 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337 0.3052337
[50] 0.3052337 0.3052337 0.3052337
